Indexes,Material=Steel,Material=Aluminum,Material=Titanium,SSB_Include,CSB_Include,CS Length,BB Drop,Stack,SS E,ST Angle,BB OD,TT OD,HT OD,DT OD,CS OD,SS OD,ST OD,CS F,HT LX,ST UX,HT UX,HT Angle,HT Length,ST Length,BB Length,Dropout Offset,SSB OD,CSB OD,SSB Offset,CSB Offset,SS Z,SS Thickness,CS Thickness,TT Thickness,BB Thickness,HT Thickness,ST Thickness,DT Thickness,DT Length,valid
13,1,0,0,0,0,0.43,0.067,0.5656,0.045,72.5,0.04,0.0325,0.045,0.038450000000000005,0.023350000000000003,0.013000000000000001,0.034,0.015,0.05,0.0287,0.05,73,0.1502,0.5887,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.007,0.000871073,0.00702397,0.001631491,0.00340506,0.001781151,0.002428721,0.005740049,0.658441904,0
14,0,1,0,0,0,0.40943,0.072,0.5656,0.045,73.5,0.04,0.0286,0.045,0.05105,0.023350000000000003,0.013000000000000001,0.0334,0.015,0.0512,0.0286,0.0332,72.5,0.1677,0.61,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.007,0.001007175,0.000836423,0.000761673,0.001802776,0.007277595,0.005483571,0.002065483,0.6720915135045532,0
15,1,0,0,0,0,0.38757,0.05,0.5656,0.04,73.5,0.0381,0.0254,0.0286,0.034,0.01735,0.0105,0.0286,0.015,0.035,0.019,0.0285,72,0.049,0.48,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.0106,0.003990721,0.003808226,0.009053192,0.000558792,0.005669122,0.000599437,0.001865141,0.5845843210912172,0
16,0,0,1,0,0,0.425,0.02,0.5656,0.045,72,0.03,0.0277,0.04,0.0365,0.023350000000000003,0.0185,0.03,0.015,0.04,0.05,0.04,68,0.136,0.48,0.1,0.135,0.015842532,0.017745538284398395,0.33,0.35,0.0112,0.00204519,0.003412539,0.000505146,0.006947333,0.000678799,0.000847817,0.006571703,0.6582061294403002,0
17,1,0,0,0,0,0.355,0.025,0.5656,0.045,74,0.0381,0.0254,0.033,0.034,0.01875,0.013000000000000001,0.0286,0.013999999999999999,0.0329,0.0378,0.0325,75,0.1394,0.4828,0.068,0.12,0.015842532,0.017745538284398395,0.33,0.35,0.025,0.002629305,0.005070801,0.001810704,0.001102787,0.000717336,0.000904508,0.001837385,0.6209706224563203,1
18,1,0,0,0,0,0.45,0.055,0.5656,0.045,74.5,0.04,0.029200000000000007,0.045,0.0365,0.022000000000000002,0.017,0.0318,0.015,0.0509,0.0504,0.0268,70.5,0.111,0.4826,0.068,0.135,0.015842532,0.017745538284398395,0.33,0.35,0.008,0.00131007,0.003316575,0.006166571,0.000541492,0.005799125,0.001230206,0.006077025,0.7062648586791099,0
19,0,1,0,0,0,0.4,0.0705,0.5656,0.38,75,0.09,0.0275,0.055,0.0365,0.046,0.013000000000000001,0.0318,0.015,0.0442,0.265,0.0201,75,0.125,0.69,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.007,0.002193949,0.001435485,0.003209197,0.002206823,0.000878109,0.001096754,0.009335603,0.669656287,0
20,1,0,0,0,0,0.355,0.013999999999999999,0.5656,0.38,74,0.0381,0.0254,0.033,0.034,0.01875,0.013000000000000001,0.0286,0.013999999999999999,0.0328,0.0378,0.0325,75,0.1431,0.4828,0.068,0.12,0.015842532,0.017745538284398395,0.33,0.35,0.025,0.002758329,0.005656697,0.001102383,0.007328337,0.004209579,0.009493972,0.000530516,0.6134347816059488,1
21,1,0,0,0,0,0.44243999999999994,0.077,0.5656,0.065,73,0.0381,0.027000000000000003,0.0318,0.034,0.02125,0.0109,0.0286,0.016,0.0434,0.0408,0.0399,71.5,0.2,0.6407999999999999,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.0106,0.00123652,0.001632684,0.004103188,0.001647077,0.000736743,0.004519071,0.001594917,0.6505067586957591,0
22,1,0,0,0,0,0.42200000000000004,0.05,0.5656,0.065,74.5,0.05,0.03015,0.045,0.0365,0.022000000000000002,0.017,0.0318,0.015,0.0458,0.0606,0.027000000000000003,73,0.15,0.53,0.068,0.135,0.015842532,0.017745538284398395,0.33,0.35,0.008,0.004391991,0.001575209,0.002129137,0.009733018,0.000906164,0.004973467,0.001214117,0.7174340571146448,2
23,1,0,0,0,0,0.41,-0.01,0.5656,0.065,74,0.039,0.0254,0.033,0.034,0.01875,0.013000000000000001,0.0254,0.013999999999999999,0.0498,0.0405,0.0361,74,0.1272,0.4905,0.068,0.12,0.015842532,0.017745538284398395,0.33,0.35,0.025,0.001086376,0.002750271,0.000786295,0.00065299,0.00156373,0.001020149,0.002382973,0.6467846029638838,1
24,0,1,0,0,0,0.405,0.073,0.5656,0.077,74,0.04,0.0286,0.05,0.0443,0.0265,0.013000000000000001,0.032,0.015,0.0591,0.0549,0.0354,72,0.1264,0.465,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.007,0.003565625,0.000872986,0.001074522,0.001526441,0.002027319,0.006019519,0.001314869,0.6506593070092217,0
25,1,0,0,0,0,0.35,-0.0145,0.5656,0.045,74.5,0.04,0.029200000000000007,0.045,0.0365,0.022000000000000002,0.0185,0.0318,0.015,0.035,0.025,0.015,74,0.09,0.265,0.068,0.11,0.015842532,0.017745538284398395,0.33,0.35,0.008,0.001138852,0.007772755,0.004329797,0.001058532,0.001049282,0.000719964,0.001130553,0.6107391728894326,0
26,1,0,0,0,0,0.395,0.057,0.5656,0.045,75,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0456,0.0345,0.0443,74,0.1217,0.53,0.068,0.12,0.015842532,0.017745538284398395,0.33,0.35,0.007,0.00450587,0.000914821,0.000705112,0.000830631,0.00281334,0.000969944,0.002653453,0.6576670606502955,0
27,0,1,0,0,0,0.40700000000000003,0.0722,0.5656,0.025,72.53453074346996,0.04,0.028200000000000006,0.036000000000000004,0.01905,0.023350000000000003,0.013000000000000001,0.031,0.015,0.0429,0.0225,0.0334,73.03453074346996,0.14859999999999998,0.58,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.009,0.000900877,0.004823015,0.0009482,0.007447206,0.008433177,0.008000581,0.001976081,0.6441349020060737,0
28,0,1,0,0,0,0.425,0.043,0.5656,0.077,73,0.035,0.042,0.045,0.04495,0.0265,0.0185,0.035,0.015,0.07,0.062,0.027000000000000003,70,0.1236,0.52,0.1,0.135,0.015842532,0.017745538284398395,0.33,0.35,0.0112,0.001992043,0.001390025,0.000540305,0.001135941,0.001349949,0.000700998,0.001349949,0.7038693533105786,0
29,0,1,0,0,0,0.425,0.043,0.5656,0.072,73,0.035,0.042,0.045,0.04495,0.0265,0.0185,0.035,0.015,0.07,0.062,0.027000000000000003,70,0.1236,0.52,0.1,0.135,0.015842532,0.017745538284398395,0.33,0.35,0.0112,0.000750338,0.005017309,0.004663451,0.002655395,0.007895945,0.007148351,0.005366526,0.7038693533105786,0
30,1,0,0,0,0,0.53998,0.05,0.5656,0.072,40,0.0381,0.0254,0.045,0.034,0.01875,0.013000000000000001,0.0286,0.013999999999999999,0.0463,0.0509,0.0358,40,0.1001,0.4509,0.068,0.12,0.015842532,0.017745538284398395,0.33,0.35,0.025,0.001179112,0.002418087,0.002815398,0.00887617,0.002468116,0.007907504,0.006006326,0.5547817601166938,1
31,1,0,0,0,0,0.8,0.025,0.5656,0.072,25,0.0381,0.0277,0.045,0.034,0.01875,0.01775,0.0286,0.013999999999999999,0.0463,0.06,0.037000000000000005,30,0.2682,0.55,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.025,0.005735852,0.000552291,0.002712317,0.008341165,0.002048184,0.00252841,0.000831847,0.5623684832667248,1
32,1,0,0,0,0,0.4,0.037000000000000005,0.5656,0.04,74.5,0.0381,0.0254,0.0317,0.034,0.01735,0.0105,0.0286,0.015,0.044000000000000004,0.044000000000000004,0.03,73,0.1238,0.54,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.0106,0.000869164,0.002901101,0.000737822,0.003242225,0.000982798,0.001960247,0.002817458,0.6234443656860658,0
33,0,1,0,0,0,0.40700000000000003,0.0797,0.5656,0.025,72.535,0.04,0.028200000000000006,0.036000000000000004,0.01905,0.023350000000000003,0.013000000000000001,0.031,0.015,0.0645,0.021,0.0408,74.035,0.14859999999999998,0.58,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.009,0.005811863,0.000928301,0.003218599,0.004819489,0.00050811,0.000584714,0.001311028,0.6853063322624584,0
34,0,1,0,0,0,0.31685,0.013000000000000001,0.5656,0.045,72.1,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0408,0.0251,0.0263,74,0.3526,0.4801,0.068,0.135,0.015842532,0.017745538284398395,0.33,0.35,0.009,0.005035691,0.001486774,0.009528754,0.00085529,0.000556346,0.000524728,0.003071413,0.5145662746338769,0
35,1,0,0,0,0,0.4,0.037000000000000005,0.5656,0.04,74.5,0.0381,0.0254,0.0317,0.034,0.01735,0.0105,0.0286,0.015,0.044000000000000004,0.3,0.03,73,0.1238,0.5,0.068,0.12,0.015842532,0.017745538284398395,0.33,0.35,0.0106,0.004512466,0.001009018,0.002133813,0.005975654,0.002343223,0.000575381,0.004512466,0.6234443656860658,0
36,1,0,0,0,0,0.44,0.071,0.5656,0.045,74,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.035,0.015,0.0513,0.0287,0.027000000000000003,71.5,0.1459,0.52,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.007,0.000786295,0.001291046,0.006471539,0.000750338,0.000660676,0.001151836,0.001042779,0.6493923136566664,0
37,0,0,1,0,0,0.4069,0.07,0.5656,0.03,74,0.04,0.0277,0.038,0.0365,0.023350000000000003,0.013000000000000001,0.035,0.015,0.0494,0.0856,0.0361,74,0.1179,0.6156,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.007,0.001766879,0.00110319,0.000850301,0.002118264,0.001604276,0.0005531,0.000715502,0.6432086377161369,0
39,1,0,0,0,0,0.41,0.067,0.5656,0.045,73,0.04,0.0302,0.0317,0.038450000000000005,0.0171,0.0105,0.0286,0.015,0.035,0.0287,0.03,73,0.1758,0.6187,0.068,0.12,0.015842532,0.017745538284398395,0.33,0.35,0.007,0.001564874,0.006678299,0.005162483,0.001425024,0.001051203,0.001051203,0.006916913,0.6462059863676842,0
40,0,1,0,0,0,0.405,0.07,0.5656,0.045,73.5,0.04,0.02695,0.032,0.0365,0.023350000000000003,0.013000000000000001,0.0285,0.015,0.0332,0.0206,0.0302,72,0.1,0.5306000000000001,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.007,0.003508712,0.003508712,0.000714456,0.003195145,0.004869091,0.000924236,0.009711686,0.6293702191097402,0
41,1,0,0,0,0,0.405,0.07,0.5656,0.045,74,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0499,0.049,0.034,73,0.145,0.515,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.009,0.002350088,0.003299639,0.004121234,0.006619943,0.003955849,0.001104805,0.003358069,0.6536386402787728,0
42,0,0,1,0,0,0.395,0.06,0.5656,0.045,74,0.04,0.0286,0.045,0.0365,0.027999999999999997,0.015,0.0349,0.015,0.03,0.035,0.03,73,0.1236,0.57,0.068,0.12,0.015842532,0.017745538284398395,0.33,0.35,0.007,0.003811013,0.001050434,0.00167747,0.001719706,0.002702416,0.004046564,0.001794226,0.6298876707052952,0
43,1,0,0,0,0,0.425,0.037000000000000005,0.5656,0.072,72.5,0.035,0.0405,0.039,0.04495,0.0265,0.017,0.0308,0.015,0.0525,0.062,0.0235,70,0.168,0.53,0.1,0.135,0.015842532,0.017745538284398395,0.33,0.35,0.0112,0.00480541,0.005261591,0.003246972,0.002285673,0.008805046,0.003256485,0.001835371,0.7048509797939473,0
44,1,0,0,0,0,0.41,0.067,0.5656,0.045,73.5,0.04,0.0302,0.0317,0.038450000000000005,0.0171,0.0105,0.0286,0.015,0.035,0.0287,0.05,73.5,0.1656,0.5887,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.007,0.007013703,0.000817971,0.000522812,0.007349808,0.007804085,0.001221241,0.000760282,0.6493180509191563,0
45,0,1,0,0,0,0.385,0.013999999999999999,0.5656,0.037000000000000005,68,0.045,0.04,0.035,0.0345,0.018000000000000002,0.015,0.035,0.015,0.0452,0.0354,0.0283,76,0.0706,0.4554,0.17,0.11,0.015842532,0.017745538284398395,0.33,0.35,0.009,0.008029892,0.004525686,0.000687794,0.008077013,0.003909827,0.009854789,0.002282332,0.6081715405480074,2
46,1,0,0,0,0,0.36,-0.01,0.5656,0.045,74,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.019,0.03,0.015,0.0464,0.0341,0.032600000000000004,72.5,0.1203,0.2911,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.009,0.000932383,0.001948811,0.007143125,0.001983321,0.009079716,0.008974084,0.001723484,0.6158553773983277,0
47,1,0,0,0,0,0.42,0.074,0.5656,0.04,74,0.0381,0.0254,0.0317,0.034,0.01735,0.0105,0.0286,0.015,0.044000000000000004,0.044000000000000004,0.03,74,0.14,0.54,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.0106,0.000575802,0.003365446,0.001554608,0.001855617,0.008262233,0.005517767,0.00124105,0.6438938373418057,0
48,0,1,0,0,0,0.56,0.065374519,0.5656,0.04,56.9758192,0.0381,0.0277,0.0317,0.034,0.0175,0.00525,0.0286,0.015,0.0317,0.04,0.03,53.4758192,0.142,0.5,0.068,0.135,0.015842532,0.017745538284398395,0.33,0.35,0.0106,0.000775444,0.002498995,0.007164053,0.000935115,0.000520904,0.001458769,0.001344038,0.6021320237134516,0
49,1,0,0,0,0,0.405,0.07,0.5656,0.045,74,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0548,0.0509,0.0309,73,0.145,0.5169,0.068,0.12,0.015842532,0.017745538284398395,0.33,0.35,0.009,0.004721796,0.003555209,0.002069263,0.002437619,0.001846141,0.003125802,0.002099754,0.6563385308888887,0
50,1,0,0,0,0,0.405,0.07,0.5656,0.045,74,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0499,0.049,0.034,73,0.145,0.515,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.009,0.000730305,0.007924873,0.002057191,0.00920004,0.004847771,0.003452707,0.00411521,0.6536386402787728,0
51,1,0,0,0,0,0.405,0.07,0.5656,0.045,74,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.0145,0.0318,0.015,0.052000000000000005,0.0492,0.0322,76.5,0.145,0.5152,0.068,0.135,0.015842532,0.017745538284398395,0.33,0.35,0.009,0.001038213,0.000637885,0.000617684,0.003695726,0.00121057,0.005841694,0.002122917,0.6744991407907001,0
52,0,1,0,0,0,0.405,0.07,0.5656,0.045,74,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0499,0.049,0.034,73,0.145,0.515,0.068,0.135,0.015842532,0.017745538284398395,0.33,0.35,0.009,0.003326292,0.001525325,0.000628622,0.006077025,0.007382131,0.007872879,0.004160605,0.6536386402787728,0
53,0,1,0,0,0,0.405,0.07,0.5656,0.045,74,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0499,0.049,0.034,73,0.145,0.515,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.009,0.000624498,0.003213894,0.002603472,0.000997279,0.008390112,0.003213894,0.002060203,0.6536386402787728,0
54,1,0,0,0,0,0.40504,0.07,0.5656,0.045,74,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0499,0.049,0.034,73,0.145,0.515,0.068,0.135,0.015842532,0.017745538284398395,0.33,0.35,0.009,0.000587716,0.003663432,0.000655862,0.000977779,0.001020149,0.000934431,0.0065573,0.6536386402787728,0
55,1,0,0,0,0,0.405,0.07,0.5656,0.045,74,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0499,0.049,0.034,73,0.145,0.515,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.009,0.000586856,0.007382131,0.005689891,0.007013703,0.000717074,0.008322883,0.002690583,0.6536386402787728,0
56,0,1,0,0,0,0.405,0.07,0.5656,0.045,74,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0548,0.0555,0.0309,73,0.145,0.5215,0.068,0.135,0.015842532,0.017745538284398395,0.33,0.35,0.009,0.004055452,0.001254741,0.001311028,0.009362955,0.003769432,0.000776579,0.000586427,0.6563385308888887,0
57,1,0,0,0,0,0.381,0.046,0.5656,0.045,74,0.0381,0.027000000000000003,0.037000000000000005,0.034,0.0212,0.0126,0.0286,0.013999999999999999,0.0398,0.038200000000000005,0.0368,74.5,0.14909999999999998,0.561,0.068,0.135,0.015842532,0.017745538284398395,0.33,0.35,0.025,0.000686789,0.006747032,0.005546088,0.006495249,0.004299818,0.000535584,0.002339798,0.6370381633173888,1
58,1,0,0,0,0,0.36,-0.01,0.5656,0.045,74,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.019,0.03,0.015,0.0503,0.0339,0.0327,72.5,0.115,0.2909,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.009,0.004492707,0.002423398,0.001232908,0.006533364,0.001526441,0.001526441,0.001406387,0.6174388708937232,0
59,0,1,0,0,0,0.405,0.07,0.5656,0.045,74,0.04,0.0267,0.037000000000000005,0.0365,0.023350000000000003,0.013000000000000001,0.027999999999999997,0.015,0.039700000000000006,0.0353,0.0285,72,0.0998,0.5,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.007,0.002653453,0.001159443,0.009782976,0.001513102,0.001618418,0.005594978,0.007496389,0.6343747857132332,0
60,0,1,0,0,0,0.405,0.07,0.5656,0.045,74,0.04,0.0267,0.037000000000000005,0.0365,0.023350000000000003,0.013000000000000001,0.027999999999999997,0.015,0.039700000000000006,0.0353,0.0285,72,0.0998,0.5,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.007,0.002523792,0.002411905,0.006008523,0.0016131,0.000830327,0.004906627,0.000560225,0.6343747857132332,0
61,0,1,0,0,0,0.405,0.07,0.5656,0.045,74,0.04,0.0267,0.037000000000000005,0.0365,0.023350000000000003,0.013000000000000001,0.027999999999999997,0.015,0.0396,0.0352,0.0286,72,0.0998,0.5,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.007,0.005061538,0.001308155,0.000720227,0.003981974,0.006041572,0.001237425,0.001610153,0.6331337857977498,0
62,1,0,0,0,0,0.445,0.06,0.5656,0.1,73,0.03,0.0405,0.046,0.04375,0.0265,0.017,0.0304,0.015,0.04,0.095,0.025,72,0.13,0.535,0.1,0.135,0.015842532,0.017745538284398395,0.33,0.35,0.0112,0.000551282,0.001779198,0.003851644,0.006123874,0.002167632,0.002488963,0.001462508,0.7404227763906955,0
63,0,1,0,0,0,0.408,0.07,0.5656,0.045,74,0.04,0.0322,0.034,0.0365,0.023350000000000003,0.013000000000000001,0.039,0.015,0.0476,0.049,0.0342,72,0.1706,0.5670000000000001,0.068,0.12,0.015842532,0.017745538284398395,0.33,0.35,0.009,0.000998009,0.00056166,0.000816775,0.00513612,0.000515975,0.00289898,0.000732981,0.6495578111348416,0
64,1,0,0,0,0,0.36,-0.01,0.5656,0.045,74,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.019,0.03,0.015,0.0454,0.0341,0.0227,71.5,0.1144,0.2911,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.009,0.002278996,0.005006313,0.000867893,0.00061453,0.001884337,0.00458566,0.00108717,0.6169746132745836,0
65,0,0,1,0,0,0.405,0.07,0.5656,0.045,74,0.04,0.0291,0.037000000000000005,0.0365,0.021,0.016649999999999998,0.0318,0.015,0.046700000000000005,0.0475,0.0328,73,0.1277,0.5825,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.009,0.001001299,0.001327916,0.002328701,0.005511717,0.001776597,0.001992772,0.004881571,0.6542008022461495,0
66,0,1,0,0,0,0.325,0.07,0.5656,0.045,72,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0494,0.0465,0.0369,72,0.0922,0.429,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.009,0.002087504,0.002118264,0.003682236,0.000745415,0.000505146,0.002259081,0.006326463,0.5418385203634734,0
67,0,1,0,0,0,0.325,0.07,0.5656,0.045,72,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0494,0.0465,0.0369,72,0.0922,0.429,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.009,0.008798609,0.000602513,0.004725251,0.005773732,0.004766905,0.00224098,0.004656635,0.5418385203634734,0
68,1,0,0,0,0,0.38,-0.0145,0.5656,0.045,74,0.0381,0.0254,0.0318,0.034,0.02075,0.011425,0.0318,0.005,0.0573,0.2154,0.0202,74,0.1606,0.5154,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.03,0.006697865,0.001347976,0.007890172,0.002165255,0.002018442,0.001340112,0.002521024,0.6070798834893413,1
69,0,1,0,0,0,0.4,0.057999999999999996,0.5656,0.025,74.5,0.04,0.028200000000000006,0.036000000000000004,0.01905,0.023350000000000003,0.013000000000000001,0.031,0.015,0.0454,0.0221,0.0349,73.5,0.1107,0.55,0.068,0.12,0.015842532,0.017745538284398395,0.33,0.35,0.009,0.007469025,0.001366838,0.004203426,0.008595076,0.003516419,0.000987842,0.001017168,0.6483087539972489,0
70,0,1,0,0,0,0.31624,0.013000000000000001,0.5656,0.033,72.1,0.04,0.0377,0.04,0.05,0.05,0.0315,0.05,0.015,0.0337,0.0308,0.0383,74,0.3,0.4858,0.068,0.135,0.015842532,0.017745538284398395,0.33,0.35,0.009,0.00291386,0.005694054,0.005080081,0.002416319,0.002143198,0.00240926,0.005660835,0.5121014908693285,0
71,1,0,0,0,0,0.408,0.068,0.5656,0.03,73,0.04,0.0254,0.0318,0.0365,0.017,0.012,0.0286,0.015,0.0307,0.0197,0.025,72.5,0.15080000000000002,0.5477000000000001,0.068,0.13,0.015842532,0.017745538284398395,0.33,0.35,0.007,0.00569822,0.002067751,0.003470429,0.00160076,0.001108852,0.000706661,0.001203507,0.6338508579857922,0
